code|name|applies_to|active
4321|Equipo informático y accesorios|product|TRUE
4322|Equipos o plataformas y accesorios de redes multimedia o de voz y datos|product|TRUE
4323|Software|product|TRUE
4410|Maquinaria, suministros y accesorios de oficina |product|TRUE
4411|Accesorios de oficina y escritorio|product|TRUE
4412|Suministros de oficina|product|TRUE
4500|Equipos y Suministros para Impresión, Fotografía y Audiovisuales|product|TRUE
4510|Equipo de imprenta y publicación|product|TRUE
4511|Equipos de audio y video para presentación y composición|product|TRUE
4512|Equipo de vídeo, filmación o fotografía|product|TRUE
4513|Medios fotográficos y de grabación|product|TRUE
4514|Suministros fotográficos para cine|product|TRUE
4600|Equipos y Suministros de Defensa, Orden Público, Protección, Vigilancia y Seguridad|product|TRUE
4610|Armas ligeras y munición|product|TRUE
4611|Armas de guerra convencionales|product|TRUE
4612|Misiles|product|TRUE
4613|Cohetes y subsistemas|product|TRUE
4614|Lanzadores|product|TRUE
4615|Protección del Orden Público|product|TRUE
4616|Seguridad y control público|product|TRUE
4617|Seguridad, vigilancia y detección|product|TRUE
4618|Seguridad y protección personal|product|TRUE
4619|Protección contra incendios|product|TRUE
4620|Equipo de entrenamiento de seguridad física e industrial, defensa y orden público |product|TRUE
4700|Equipos de Limpieza y Suministros|product|TRUE
4710|Tratamiento, suministros y eliminación de agua y aguas residuales|product|TRUE
4711|Equipo industrial de lavandería y lavado en seco|product|TRUE
4712|Equipo de aseo|product|TRUE
4713|Suministros de aseo y limpieza|product|TRUE
4800|Maquinaria, Equipo y Suministros para la Industria de Servicios|product|TRUE
4810|Equipos de servicios de alimentación para instituciones|product|TRUE
4811|Máquinas expendedoras|product|TRUE
4812|Equipo de Juego o de Apostar|product|TRUE
4813|Equipo y materiales funerarios|product|TRUE
4900|Equipos, Suministros y Accesorios para Deportes y Recreación|product|TRUE
4910|Coleccionables y condecoraciones|product|TRUE
4912|Equipos y accesorios para acampada y exteriores|product|TRUE
4913|Equipos de pesca y caza|product|TRUE
4914|Equipos para deportes acuáticos|product|TRUE
4915|Equipos para deportes de invierno|product|TRUE
4916|Equipos deportivos para campos y canchas |product|TRUE
4917|Equipos de gimnasia y boxeo|product|TRUE
4918|Juegos, equipo de tiro y mesa|product|TRUE
4920|Equipo para entrenamiento físico|product|TRUE
4921|Otros deportes|product|TRUE
4922|Equipo y accesorios para deportes|product|TRUE
4924|Equipo de recreo, parques infantiles y equipo y suministros de natación y de spa|product|TRUE
5000|Alimentos, Bebidas y Tabaco|product|TRUE
5010|Frutos secos|product|TRUE
5011|Productos de carne y aves de corral|product|TRUE
5012|Pescados y mariscos|product|TRUE
5013|Productos lácteos y huevos|product|TRUE
5015|Aceites y grasas comestibles|product|TRUE
5016|Chocolates, azúcares, edulcorantes y productos de confitería|product|TRUE
5017|Condimentos y conservantes|product|TRUE
5018|Productos de panadería|product|TRUE
5019|Alimentos preparados y conservados|product|TRUE
5020|Bebidas|product|TRUE
5021|Tabaco y productos de fumar y substitutos|product|TRUE
5022|Productos de cereales y legumbres|product|TRUE
5030|Fruta fresca|product|TRUE
5031|Fruta orgánica fresca|product|TRUE
5032|Fruta seca|product|TRUE
5033|Fruta orgánica seca|product|TRUE
5034|Fruta congelada|product|TRUE
5035|Fruta orgánica congelada|product|TRUE
5036|Fruta en lata o en frasco|product|TRUE
5037|Fruta orgánica en lata o en frasco|product|TRUE
5038|Puré de frutas|product|TRUE
5040|Vegetales frescos|product|TRUE
5041|Vegetales orgánicos frescos|product|TRUE
5042|Vegetales secos|product|TRUE
5043|Vegetales orgánicos secos|product|TRUE
5044|Vegetales congelados|product|TRUE
5045|Vegetales orgánicos congelados|product|TRUE
5046|Vegetales en lata o en frasco|product|TRUE
5047|Vegetales orgánicos en lata o en frasco|product|TRUE
5100|Medicamentos y Productos Farmacéuticos|product|TRUE
5110|Medicamentos anti infecciosos|product|TRUE
5111|Agentes antitumorales|product|TRUE
5112|Medicamentos cardiovasculares|product|TRUE
5113|Medicamentos hematólogos|product|TRUE
5114|Medicamentos para el sistema nervioso central|product|TRUE
5115|Medicamentos para el sistema nervioso autónomo|product|TRUE
5116|Medicamentos que afectan al sistema respiratorio|product|TRUE
5117|Medicamentos que afectan al sistema gastrointestinal|product|TRUE
5118|Hormonas y antagonistas hormonales |product|TRUE
5119|Agentes que afectan el agua y los electrolitos|product|TRUE
5120|Medicamentos inmunomoduladores|product|TRUE
5121|Categorías de medicamentos varios|product|TRUE
5124|Fármacos que afectan a los oídos, los ojos, la nariz y la piel|product|TRUE
5125|Suplementos alimenticios veterinarios|product|TRUE
5200|Artículos Domésticos, Suministros y Productos Electrónicos de Consumo|product|TRUE
5210|Revestimientos de suelos|product|TRUE
5212|Ropa de cama, mantelerías, paños de cocina y toallas|product|TRUE
5213|Tratamientos de ventanas|product|TRUE
5214|Aparatos electrodomésticos|product|TRUE
5215|Utensilios de cocina domésticos|product|TRUE
5216|Electrónica de consumo|product|TRUE
5217|Tratamientos de pared doméstica|product|TRUE
5300|Ropa, Maletas y Productos de Aseo Personal|product|TRUE
5310|Ropa|product|TRUE
5311|Calzado|product|TRUE
5312|Maletas, bolsos de mano, mochilas y estuches|product|TRUE
5313|Artículos de tocador y cuidado personal|product|TRUE
5314|Fuentes y accesorios de costura|product|TRUE
5400|Productos para Relojería, Joyería y Piedras Preciosas|product|TRUE
5410|Joyería|product|TRUE
5411|Relojes|product|TRUE
5412|Gemas|product|TRUE
5500|Publicaciones Impresas, Publicaciones Electrónicas y Accesorios|product|TRUE
5510|Medios impresos|product|TRUE
5511|Material electrónico de referencia|product|TRUE
5512|Etiquetado y accesorios|product|TRUE
5600|Muebles, Mobiliario y Decoración|product|TRUE
5610|Muebles de alojamiento|product|TRUE
5611|Muebles comerciales e industriales|product|TRUE
5612|Mobiliario institucional, escolar y educativo y accesorios|product|TRUE
5613|Muebles y accesorios para mercadeo|product|TRUE
5614|Adornos para el hogar|product|TRUE
6000|Instrumentos Musicales, Juegos, Juguetes, Artes, Artesanías y Equipo educativo, Materiales, Accesorios y Suministros|product|TRUE
6010|Materiales didácticos profesionales y de desarrollo y accesorios y suministros|product|TRUE
6011|Decoraciones y suministros del aula|product|TRUE
6012|Equipo, accesorios y suministros de arte y manualidades |product|TRUE
6013|Instrumentos musicales, piezas y accesorios|product|TRUE
6014|Juguetes y juegos|product|TRUE
7000|Servicios de Contratación Agrícola, Pesquera, Forestal y de Fauna|product|TRUE
7010|Pesquerías y acuicultura|product|TRUE
7011|Horticultura|product|TRUE
7012|Servicios de animales vivos|product|TRUE
7013|Preparación, gestión y protección del terreno y del suelo|product|TRUE
7014|Producción, gestión y protección de cultivos|product|TRUE
7015|Silvicultura|product|TRUE
7016|Fauna y flora silvestres|product|TRUE
7017|Desarrollo y vigilancia de recursos hidráulicos|product|TRUE
7100|Servicios de Minería, Petróleo y Gas|product|TRUE
7110|Servicios de minería|product|TRUE
7111|Servicios de perforación y prospección petrolífera y de gas|product|TRUE
7112|Servicios de construcción y perforación de pozos|product|TRUE
7113|Servicios de aumento de la extracción y producción de gas y petróleo|product|TRUE
7114|Servicios de restauración y recuperación de gas y petróleo|product|TRUE
7115|Servicios de procesamiento y gestión de datos de petróleo y gas|product|TRUE
7116|Servicios de gerencia de proyectos en pozos de petróleo y gas|product|TRUE
7200|Servicios de Edificación, Construcción de Instalaciones y Mantenimiento|product|TRUE
7210|Servicios de mantenimiento y reparaciones de construcciones e instalaciones|product|TRUE
7211|Servicios de construcción de edificaciones residenciales|product|TRUE
7212|Servicios de construcción de edificaciones no residenciales|product|TRUE
7214|Servicios de construcción pesada|product|TRUE
7215|Servicios de mantenimiento y construcción de comercio especializado|product|TRUE
7300|Servicios de Producción Industrial y Manufactura|product|TRUE
7310|Industrias de plásticos y productos químicos|product|TRUE
7311|Industrias de la madera y el papel|product|TRUE
7312|Industrias del metal y de minerales|product|TRUE
7313|Industrias de alimentos y bebidas|product|TRUE
7314|Industrias de fibras, textiles y de tejidos|product|TRUE
7315|Servicios de apoyo a la fabricación|product|TRUE
7316|Fabricación de maquinaria y equipo de transporte|product|TRUE
7317|Fabricación de productos eléctricos e instrumentos de precisión|product|TRUE
7318|Servicios de maquinado y procesado|product|TRUE
7600|Servicios de Limpieza, Descontaminación y Tratamiento de Residuos|product|TRUE
7610|Servicios de descontaminación|product|TRUE
7611|Servicios de aseo y limpieza|product|TRUE
7612|Eliminación y tratamiento de desechos|product|TRUE
7613|Limpieza de residuos tóxicos y peligrosos|product|TRUE
7700|Servicios Medioambientales|product|TRUE
7710|Gestión medioambiental|product|TRUE
7711|Protección medioambiental|product|TRUE
7712|Seguimiento, control y rehabilitación de la contaminación|product|TRUE
7713|Servicios de seguimiento, control o rehabilitación de contaminantes|product|TRUE
7800|Servicios de Transporte, Almacenaje y Correo|product|TRUE
7810|Transporte de correo y carga|product|TRUE
7811|Transporte de pasajeros|product|TRUE
7812|Manejo y embalaje de material|product|TRUE
7813|Almacenaje|product|TRUE
7814|Servicios de transporte|product|TRUE
7818|Servicios de mantenimiento o reparaciones de transportes|product|TRUE
8000|Servicios de Gestión, Servicios Profesionales de Empresa y Servicios Administrativos|product|TRUE
8010|Servicios de asesoría de gestión|product|TRUE
8011|Servicios de recursos humanos|product|TRUE
8012|Servicios legales|product|TRUE
8013|Servicios inmobiliarios|product|TRUE
8014|Comercialización y distribución|product|TRUE
8015|Política comercial y servicios|product|TRUE
8016|Servicios de administración de empresas|product|TRUE
8100|Servicios Basados en Ingeniería, Investigación y Tecnología|product|TRUE
8110|Servicios profesionales de ingeniería|product|TRUE
8111|Servicios informáticos|product|TRUE
8112|Economía|product|TRUE
8113|Estadística|product|TRUE
8114|Tecnologías de fabricación|product|TRUE
8115|Servicios de pedología|product|TRUE
8116|Entrega de servicios de tecnología de información|product|TRUE
8200|Servicios Editoriales, de Diseño, de Artes Gráficas y Bellas Artes|product|TRUE
8210|Publicidad|product|TRUE
8211|Escritura y traducciones|product|TRUE
8212|Servicios de reproducción|product|TRUE
8213|Servicios fotográficos|product|TRUE
8214|Diseño gráfico|product|TRUE
8215|Artistas e intérpretes profesionales|product|TRUE
8300|Servicios Públicos y Servicios Relacionados con el Sector Público|product|TRUE
8310|Servicios públicos|product|TRUE
8311|Servicios de medios de telecomunicaciones|product|TRUE
8312|Servicios de información|product|TRUE
8400|Servicios Financieros y de Seguros|product|TRUE
8410|Finanzas de desarrollo|product|TRUE
8411|Servicios de contabilidad y auditorias|product|TRUE
8412|Banca e inversiones|product|TRUE
8413|Servicios de seguros y pensiones|product|TRUE
8414|Agencias de crédito|product|TRUE
8500|Servicios de Salud|product|TRUE
8510|Servicios integrales de salud|product|TRUE
8511|Prevención y control de enfermedades|product|TRUE
8512|Práctica médica|product|TRUE
8513|Ciencia médica, investigación y experimentación|product|TRUE
8514|Medicina alternativa y holística|product|TRUE
8515|Servicios alimenticios y de nutrición|product|TRUE
8516|Servicios de mantenimiento, renovación y reparación de equipo médico quirúrgico|product|TRUE
8517|Servicios de muerte y soporte al fallecimiento|product|TRUE
8600|Servicios Educativos y de Formación|product|TRUE
8610|Formación profesional|product|TRUE
8611|Sistemas educativos alternativos|product|TRUE
8612|Instituciones educativas|product|TRUE
8613|Servicios educativos especializados|product|TRUE
8614|Instalaciones educativas|product|TRUE
9000|Servicios de Viajes, Alimentación, Alojamiento y Entretenimiento|product|TRUE
9010|Restaurantes y catering (servicios de comidas y bebidas)|product|TRUE
9011|Instalaciones hoteleras, alojamientos y centros de encuentros|product|TRUE
9012|Facilitación de viajes|product|TRUE
9013|Artes interpretativas|product|TRUE
9014|Deportes comerciales|product|TRUE
9015|Servicios de entretenimiento|product|TRUE
9100|Servicios Personales y Domésticos|product|TRUE
9110|Aspecto personal|product|TRUE
9111|Asistencia doméstica y personal|product|TRUE
9200|Servicios de Defensa Nacional, Orden Público, Seguridad y Vigilancia|product|TRUE
9210|Orden público y seguridad|product|TRUE
9211|Servicios militares o defensa nacional|product|TRUE
9212|Seguridad y protección personal|product|TRUE
9300|Servicios Políticos y de Asuntos Cívicos|product|TRUE
9310|Sistemas e instituciones políticas|product|TRUE
9311|Condiciones sociopolíticas|product|TRUE
9312|Relaciones internacionales|product|TRUE
9313|Ayuda y asistencia humanitaria|product|TRUE
9314|Servicios comunitarios y sociales|product|TRUE
9315|Servicios de administración y financiación pública|product|TRUE
9316|Tributación|product|TRUE
9317|Política y regulación comercial|product|TRUE
9400|Organizaciones y Clubes|product|TRUE
9410|Organizaciones laborales|product|TRUE
9411|Organizaciones religiosas|product|TRUE
9412|Clubes|product|TRUE
9413|Organizaciones, asociaciones y movimientos cívicos|product|TRUE
9500|Terrenos, Edificios, Estructuras y Vías|product|TRUE
9510|Parcelas de tierra|product|TRUE
9511|Vías|product|TRUE
9512|Estructuras y edificios permanentes|product|TRUE
9513|Estructuras y edificios móviles|product|TRUE
